sample,fastq_R1,fastq_R2
S35857_Ctl08a_iPSCs_p24,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35857_Ctl08a_iPSCs_p24/S35857_Ctl08a_iPSCs_p24_S177_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35857_Ctl08a_iPSCs_p24/S35857_Ctl08a_iPSCs_p24_S177_L003_R2_001.fastq.gz
S35858_Ctl08a_14days_1,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35858_Ctl08a_14days_1/S35858_Ctl08a_14days_1_S178_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35858_Ctl08a_14days_1/S35858_Ctl08a_14days_1_S178_L003_R2_001.fastq.gz
S35859_Ctl08a_14days_2,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35859_Ctl08a_14days_2/S35859_Ctl08a_14days_2_S179_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35859_Ctl08a_14days_2/S35859_Ctl08a_14days_2_S179_L003_R2_001.fastq.gz
S35860_Ctl08a_21days_1,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35860_Ctl08a_21days_1/S35860_Ctl08a_21days_1_S180_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35860_Ctl08a_21days_1/S35860_Ctl08a_21days_1_S180_L003_R2_001.fastq.gz
S35861_Ctl08a_21days_2,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35861_Ctl08a_21days_2/S35861_Ctl08a_21days_2_S181_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35861_Ctl08a_21days_2/S35861_Ctl08a_21days_2_S181_L003_R2_001.fastq.gz
S35862_Ctl08a_28days_1,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35862_Ctl08a_28days_1/S35862_Ctl08a_28days_1_S182_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35862_Ctl08a_28days_1/S35862_Ctl08a_28days_1_S182_L003_R2_001.fastq.gz
S35863_Ctl08a_28days_2,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35863_Ctl08a_28days_2/S35863_Ctl08a_28days_2_S183_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35863_Ctl08a_28days_2/S35863_Ctl08a_28days_2_S183_L003_R2_001.fastq.gz
S35864_Ctl08a_35days_1,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35864_Ctl08a_35days_1/S35864_Ctl08a_35days_1_S184_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35864_Ctl08a_35days_1/S35864_Ctl08a_35days_1_S184_L003_R2_001.fastq.gz
S35865_Ctl08a_35days_2,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35865_Ctl08a_35days_2/S35865_Ctl08a_35days_2_S185_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35865_Ctl08a_35days_2/S35865_Ctl08a_35days_2_S185_L003_R2_001.fastq.gz
S35866_Ctl08a_50days_1,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35866_Ctl08a_50days_1/S35866_Ctl08a_50days_1_S186_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35866_Ctl08a_50days_1/S35866_Ctl08a_50days_1_S186_L003_R2_001.fastq.gz
S35867_Ctl08a_50days_2,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35867_Ctl08a_50days_2/S35867_Ctl08a_50days_2_S187_L003_R1_001.fastq.gz,/group/testa/Users/mazen.khaddour/Projects/FASTQ_submission/Benchmarking/BulkRNA/FASTQs/Sample_S35867_Ctl08a_50days_2/S35867_Ctl08a_50days_2_S187_L003_R2_001.fastq.gz
